CAPITAL,MES,DIA,HORA,TEMPERATURA DE BULBO SECO,HUMEDAD,LEYENDA INFERIOR,TIPO,COLOR
Aguas,1,13,3,5.7,57,N/A,frio,#47b4f7
Aguas,1,13,6,1,64,N/A,frio,#003fef
Aguas,1,13,9,13.9,44,N/A,frio,#47b4f7
Aguas,1,13,12,21.7,16,N/A,frio,#47b4f7
Aguas,1,13,15,23,11,N/A,frio,#003fef
Aguas,1,13,19,15.5,20,N/A,frio,#47b4f7
Aguas,6,22,2,13.9,67,N/A,caliente,#f27b7b
Aguas,6,22,4,12.4,72,N/A,caliente,#cc0000
Aguas,6,22,7,18.4,66,N/A,caliente,#f27b7b
Aguas,6,22,10,24.6,38,N/A,caliente,#f27b7b
Aguas,6,22,14,29.8,25,N/A,caliente,#cc0000
Aguas,6,22,19,26.2,25,N/A,caliente,#f27b7b
Camp,1,11,3,21.8,90,N/A,frio,#47b4f7
Camp,1,11,6,21.1,98,N/A,frio,#003fef
Camp,1,11,9,24.1,88,N/A,frio,#47b4f7
Camp,1,11,12,27,74,N/A,frio,#003fef
Camp,1,11,15,24.7,90,N/A,frio,#47b4f7
Camp,1,11,20,22,100,N/A,frio,#47b4f7
Camp,5,1,1,27.5,74,N/A,caliente,#f27b7b
Camp,5,1,5,25.4,86,N/A,caliente,#cc0000
Camp,5,1,8,31.6,74,N/A,caliente,#f27b7b
Camp,5,1,11,35,56,N/A,caliente,#cc0000
Camp,5,1,16,30,79,N/A,caliente,#f27b7b
Camp,5,1,21,29,79,N/A,caliente,#f27b7b
Qroo,1,20,3,22.4,100,N/A,frio,#47b4f7
Qroo,1,20,6,19.3,98,N/A,frio,#003fef
Qroo,1,20,10,24,78,N/A,frio,#47b4f7
Qroo,1,20,14,29.4,64,N/A,frio,#003fef
Qroo,1,20,17,25.8,74,N/A,frio,#47b4f7
Qroo,1,20,21,24.6,86,N/A,frio,#47b4f7
Qroo,6,24,1,26.2,88,N/A,caliente,#f27b7b
Qroo,6,24,5,24.8,98,N/A,caliente,#cc0000
Qroo,6,24,8,29.6,79,N/A,caliente,#f27b7b
Qroo,6,24,12,32,70,N/A,caliente,#cc0000
Qroo,6,24,17,29.6,69,N/A,caliente,#f27b7b
Qroo,6,24,21,28,84,N/A,caliente,#f27b7b
Chih,1,17,3,0.8,60,N/A,frio,#47b4f7
Chih,1,17,7,0,68,N/A,frio,#003fef
Chih,1,17,10,12,44,N/A,frio,#47b4f7
Chih,1,17,14,19.7,34,N/A,frio,#003fef
Chih,1,17,19,15.7,43,N/A,frio,#47b4f7
Chih,1,17,24,7.2,51,N/A,frio,#47b4f7
Chih,6,14,2,25.2,41,N/A,caliente,#f27b7b
Chih,6,14,6,21.9,58,N/A,caliente,#cc0000
Chih,6,14,9,29.6,39,N/A,caliente,#f27b7b
Chih,6,14,11,33,29,N/A,caliente,#cc0000
Chih,6,14,16,24.6,48,N/A,caliente,#f27b7b
Chih,6,14,21,25.4,44,N/A,caliente,#f27b7b
Guer,1,24,2,16.8,92,N/A,frio,#47b4f7
Guer,1,24,6,14.7,100,N/A,frio,#003fef
Guer,1,24,9,19,64,N/A,frio,#47b4f7
Guer,1,24,13,26.6,41,N/A,frio,#003fef
Guer,1,24,18,22,56,N/A,frio,#47b4f7
Guer,1,24,22,18.2,76,N/A,frio,#47b4f7
Guer,5,16,1,21.1,72,N/A,caliente,#f27b7b
Guer,5,16,5,18.7,70,N/A,caliente,#cc0000
Guer,5,16,9,26.2,53,N/A,caliente,#f27b7b
Guer,5,16,14,32.1,35,N/A,caliente,#cc0000
