CAMPECHE-IGNACIO, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,23.190458,20.580217,2.6102388,19.40914,80.54032,368.45535,342.45154,194.36708,3.480645,179.35484,35.75269,
2,24.34405,20.751768,3.5922794,19.147617,74.8006,426.70532,394.9303,202.7573,3.4976192,188.9881,30.252975,
3,26.18024,21.624037,4.5562043,19.652689,69.97043,474.4834,401.15457,214.378,4.201478,183.46774,34.139786,
4,28.722084,23.785362,4.936716,21.834587,68.8625,520.2466,450.06918,214.82587,4.069583,190.51389,26.291666,
5,28.558203,24.305069,4.25313,22.707525,72.333336,486.028,378.78705,225.75261,3.8384407,178.07796,42.19086,
6,28.07736,24.596296,3.4810638,23.34014,77.38333,466.36182,351.5179,224.48819,3.613055,132.18056,49.63889,
7,27.77177,23.910755,3.8610194,22.497313,74.502686,470.4461,372.48724,231.83818,3.59422,136.65323,46.129032,
8,28.280645,25.30962,2.9710238,24.31008,80.344086,470.45572,357.7122,242.40811,2.8883066,154.95967,43.575268,
9,27.219025,24.963156,2.255872,24.208752,84.74861,432.41272,293.10107,239.84068,2.935972,124.43056,55.805557,
10,26.600267,24.256433,2.3438332,23.421371,83.84274,405.40622,308.93253,223.3367,2.948521,141.20967,48.319893,
11,25.417635,22.35779,3.0598452,21.134583,78.520836,379.2973,341.17545,197.8438,2.8919444,158.88889,38.27778,
12,23.292473,20.59797,2.6945035,19.401882,79.923386,344.27408,386.5993,184.00346,3.3485212,186.1828,41.034946,
