CHETUMAL, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,24.046099,21.77637,2.2697318,20.83293,82.94086,317.43936,218.21254,206.61296,2.847715,169.56989,54.180107,
2,25.54003,22.629463,2.9105663,21.499403,79.11161,375.07236,258.07285,229.10588,2.545982,176.83035,51.74107,
3,26.716394,23.358683,3.3577163,22.05605,76.22715,398.4496,227.81015,252.10498,4.0022845,145.81989,56.115593,
4,27.569302,24.004633,3.5646746,22.676249,75.28889,435.31042,265.98114,255.61682,3.5515282,143.13889,51.48611,
5,27.879305,24.779861,3.0994394,23.685347,78.474464,408.00327,226.49036,256.97043,3.5841393,135.2285,59.583332,
6,28.382364,25.481138,2.9012218,24.495693,80.16111,358.50522,157.91353,250.8234,3.375278,114.43056,72.77778,
7,28.354567,25.180262,3.174307,24.089653,78.21102,398.8868,222.41066,256.56638,3.446774,112.21774,61.384407,
8,28.531586,25.57403,2.9575534,24.581318,80.0457,385.0903,205.97163,255.41435,3.1419353,142.16397,64.36828,
9,28.557913,25.533144,3.0247731,24.525974,79.745834,368.47607,172.06726,260.59915,2.9134722,164.23611,67.72222,
10,27.397308,24.675167,2.722143,23.724058,81.11962,359.7944,213.84642,230.86719,2.2268815,172.15054,68.400536,
11,25.951942,23.385775,2.5661678,22.435831,81.68472,336.38977,225.81958,212.10558,2.4777777,171.88889,48.65278,
12,23.90403,21.41872,2.485314,20.353628,81.35081,308.71478,224.67772,201.09909,2.2755377,177.82259,57.231182,
