CHIHUAHUA-G-FIERRO, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,9.970968,3.4975016,6.4734674,-5.679839,35.63172,357.41385,496.02075,143.62526,3.3224463,188.07796,47.231182,
2,9.456249,3.7084546,5.747795,-4.000596,42.760418,428.50613,547.23346,159.6009,4.1215773,176.65178,33.61607,
3,16.43629,6.2342043,10.2020855,-7.705242,20.087366,487.7651,549.557,175.65193,4.0969086,167.95699,37.31183,
4,19.440695,8.249053,11.19164,-5.063888,20.543056,535.2157,588.42944,185.72763,5.1536117,181.13889,39.666668,
5,24.009272,11.456634,12.552643,-0.59569895,22.963709,564.15906,616.5437,173.00816,4.42957,189.74463,33.158604,
6,27.658615,15.619137,12.039476,6.4587502,32.058334,513.06464,447.2214,200.64957,4.027083,161.84723,52.40278,
7,25.337368,17.0279,8.309465,11.937903,48.643818,454.72943,341.4227,224.35542,3.93871,166.26344,67.47312,
8,24.033873,17.312498,6.721374,13.448119,56.262096,441.73782,333.79926,228.46924,2.9279573,171.9086,66.50538,
9,20.509583,14.715286,5.794297,10.767498,59.177776,428.56464,405.2302,210.1632,2.9027777,157.58333,53.73611,
10,18.122717,11.402094,6.7206225,5.673387,49.869625,426.55856,487.48993,168.59273,3.1616936,169.71774,46.59946,
11,13.033194,5.72418,7.3090143,-3.3545835,36.118057,405.22614,622.04895,125.43082,3.9906943,175.76389,29.444445,
12,9.4145155,2.8261921,6.5883236,-8.114114,35.064518,359.3441,561.49915,124.354515,4.006183,185.37634,33.41398,
