CHILPANCINGO, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,20.151346,15.007932,5.143411,11.662231,62.55645,438.35336,509.0241,179.49664,1.7102151,233.25269,18.10484,
2,21.236755,16.313786,4.922971,13.521429,64.3244,489.2071,505.60904,190.01685,2.2650297,232.17262,17.03869,
3,23.01667,16.109722,6.906945,11.883066,52.76344,545.8772,577.5245,186.55473,2.6405916,202.28494,13.736559,
4,24.147224,17.677412,6.46981,14.205692,56.844444,577.6109,600.4765,185.76451,2.558889,166.86111,13.166667,
5,23.842606,19.129803,4.712804,16.926077,67.64113,529.5361,492.1763,194.75429,2.6017478,183.13171,29.54301,
6,21.649721,18.664011,2.985713,17.234585,78.166664,449.9638,308.8536,231.65454,3.008194,228.51389,65.333336,
7,21.923792,18.672382,3.2514074,17.135483,76.235214,455.27432,326.68436,242.7686,1.9427418,234.30107,58.79032,
8,22.03078,18.712578,3.3182023,17.154034,76.1586,468.30283,336.9314,237.10754,2.2275538,255.2957,55.215054,
9,22.239027,19.2727,2.966327,17.905556,78.327774,428.84558,284.76184,245.30638,2.4544444,221.5,60.319443,
10,22.406855,19.070894,3.3359594,17.535618,75.75134,442.04868,361.66187,223.13962,1.8830645,238.53494,42.083332,
11,21.52653,17.301205,4.2253227,15.026946,69.48194,454.96277,497.81763,175.4221,1.579583,252.23611,13.597222,
12,20.097847,15.660888,4.4369636,13.030377,66.83468,401.00168,417.5783,179.89128,1.4466399,253.31989,25.94086,
