CIUDAD-VICTORIA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,17.221504,14.1528635,3.0686412,12.047312,75.44221,383.22934,469.01474,156.35667,2.349597,259.7043,29.946236,
2,18.70833,15.048601,3.659731,12.846874,71.885414,405.34515,390.0274,192.25241,1.4178572,264.9405,45.729168,
3,21.856585,16.276955,5.5796304,12.538846,62.325268,503.49713,526.48926,180.50787,1.3680108,223.65591,23.709677,
4,25.030972,19.944042,5.086928,17.367363,68.07222,523.38727,482.06088,190.58328,1.5416666,256.47223,32.444443,
5,26.871101,22.465279,4.4058228,20.68078,72.178764,520.7214,445.51086,190.99974,1.6602151,256.2769,34.932796,
6,29.558056,24.471048,5.087008,22.577778,69.71667,545.9315,513.20575,181.59616,1.4375,222.19444,21.694445,
7,28.599329,24.343319,4.2560062,22.794893,74.31183,517.0521,467.64487,197.9961,1.3904572,192.33871,27.258064,
8,29.164112,24.172651,4.991463,22.338713,68.849464,526.07916,491.08984,199.35641,0.51666665,156.98924,18.11828,
9,26.486805,23.373636,3.1131682,22.2075,79.65833,448.21368,356.01297,222.93854,1.6536113,238.19444,43.38889,
10,24.792606,21.047504,3.7451057,19.302958,73.75672,437.93445,437.85037,187.16812,1.8393813,242.5,33.373657,
11,19.53986,15.652178,3.887681,13.210972,70.07222,390.49417,457.2973,163.35187,1.7406945,262.4861,32.416668,
12,16.144222,13.364011,2.780211,11.50941,78.09543,342.93597,418.39087,140.54625,1.6125,273.89786,42.096775,
