Ciudad,Guadalajara,Ciudad,Guadalajara,Lat,20.67,Long,-103.38,Fuente,Custom-766120,Zona,-6,Elevacion,1551
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,,
1,15.535621,10.42887,5.10675,6.2232523,59.094086,386.8067,403.06253,183.45699,0.5311828,224.39516,35.846775,,
2,17.865774,11.676218,6.1895547,6.4930058,54.11012,473.67517,539.72974,176.56653,1.0409226,272.2024,17.514881,,
3,18.451883,11.182471,7.269411,4.8340054,46.676075,518.423,511.43893,191.49281,1.5020162,218.76344,22.244623,,
4,22.94792,12.934969,10.012946,4.610139,35.27222,567.3276,580.57086,186.7211,1.7059723,213.36111,38.48611,,
5,23.94718,14.958729,8.988452,8.628629,42.603493,554.16144,546.23663,186.86812,1.2504033,213.21237,28.024193,,
6,22.517641,17.912014,4.6056256,15.514445,68.87639,430.04315,277.78918,250.41551,1.394861,175,60.708332,,
7,20.603632,17.599714,3.0039158,16.078897,78.060486,373.06372,179.15677,253.8598,0.81989247,147.62097,65.37634,,
8,22.480782,18.6536,3.8271809,16.792873,72.96102,388.22067,196.70702,263.20093,0.9643817,160.64516,63.79032,,
9,20.56264,17.751677,2.8109598,16.304996,78.72361,341.78766,159.67122,245.3766,0.9730556,160.04167,65.25,,
10,20.673388,16.571133,4.1022534,14.2592745,69.178764,372.41364,246.43427,219.16512,0.70094085,162.67473,46.08871,,
11,16.998472,13.111688,3.8867855,10.4043045,68.40278,374.95233,346.40994,191.22229,0.73958343,160.22223,30.305555,,
12,15.804974,11.169849,4.635123,7.466534,62.284946,370.97995,394.24243,178.76181,0.8838711,141.94893,28.776882,,
