MORELIA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,15.334141,10.871905,4.4622345,7.450134,63.38844,439.0872,572.1179,164.50574,1.9885755,198.21237,24.919355,
2,18.11086,12.153312,5.957552,7.828125,54.971725,517.7938,657.18445,161.51692,1.8849703,172.00893,14.895833,
3,18.872042,12.491652,6.380392,7.863844,53.310482,553.62933,609.6454,173.32515,2.6000001,192.98387,15.376344,
4,21.742363,14.820891,6.9214697,10.432778,52.145832,573.5584,607.2076,185.10962,2.136389,215.59723,12.972222,
5,21.907528,15.805399,6.1021276,12.257527,57.14113,548.7633,518.2055,194.646,2.7959676,175.47043,32.99731,
6,21.960693,15.669816,6.290879,11.700834,56.119446,485.69983,417.78683,215.1741,1.9426389,175.63889,48.069443,
7,19.472178,16.147615,3.324562,14.307393,74.89247,442.34756,281.79248,241.9333,2.9995964,203.77689,57.862904,
8,19.751074,16.220396,3.5306797,14.282661,72.90323,449.59576,277.57986,251.87494,1.3553764,185.05376,55.577957,
9,18.760693,16.198427,2.562269,14.858058,79.48055,420.35117,251.61513,252.82474,2.1152778,187.72223,69.44444,
10,18.006453,14.025611,3.9808416,11.436426,69.25,449.45767,406.70523,211.74553,2.0662634,212.33871,40.053764,
11,16.601667,13.120637,3.481029,10.785,73.24306,452.98846,540.1626,160.68947,2.0823612,215.31944,15.541667,
12,15.47742,11.8937645,3.5836554,9.289516,71.15457,423.84488,541.69135,156.10596,1.913844,171.73387,29.341398,
