OAXACA, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,17.876883,12.377797,5.4990826,8.442742,57.669353,476.3445,621.54266,160.60698,1.7397852,200.49731,15.0,
2,19.884674,13.652916,6.231756,9.389433,55.183037,531.7937,647.6925,163.45468,2.0247023,220.49107,17.693453,
3,20.932526,14.287588,6.64494,9.844086,52.508064,564.0065,615.8598,180.38046,2.0853496,202.66129,19.422043,
4,22.907084,15.9254,6.981683,11.719305,53.15278,569.74286,575.76184,188.17526,1.9154166,187.09723,28.416666,
5,23.16989,16.617176,6.552718,12.831857,55.971775,521.94403,461.86172,214.17389,1.8107527,194.32796,52.31183,
6,21.285833,17.31454,3.9712932,15.196804,71.18889,435.5062,284.44385,245.6548,2.1402779,192.55556,67.888885,
7,21.512232,17.320484,4.1917486,15.148117,69.83064,467.53793,335.26974,235.42947,1.5397849,156.27689,57.365593,
8,21.356318,17.287077,4.069243,15.170431,70.155914,455.98593,329.95566,239.87404,1.2973119,166.43817,61.72043,
9,21.196808,17.675154,3.5216522,15.888194,73.89861,430.40533,281.36722,256.52646,1.7184722,198.81944,59.52778,
10,20.939114,16.906319,4.032793,14.729569,69.98925,461.28818,431.91605,215.46858,1.6819894,196.10216,49.09946,
11,18.41097,13.603958,4.8070145,10.48861,63.22222,461.68033,549.52484,178.0315,1.7158334,188.18056,22.597221,
12,18.744892,13.079282,5.6656094,9.189247,57.491936,445.43506,558.9326,159.4942,1.793011,146.80107,35.698925,
