SAN-LUIS-POTOSI, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,12.422581,9.174507,3.2480724,6.6462374,71.849464,387.8653,473.71198,157.18878,2.462231,147.67473,40.698925,
2,15.647619,9.232406,6.415214,2.8839283,51.38988,460.697,532.9167,164.36595,2.6223211,171.20535,30.297619,
3,17.309408,10.826693,6.482716,5.6206994,51.776882,504.51215,488.89032,192.04642,3.3424728,164.46237,33.024193,
4,19.887083,12.733444,7.153639,7.2106953,50.658333,530.16345,488.03854,206.31836,2.945,167.11111,34.88889,
5,21.855244,14.829471,7.0257726,9.666667,54.25269,517.7992,463.07056,202.46497,2.5247312,162.01613,33.051075,
6,21.544304,15.800723,5.743583,12.292916,60.279167,476.38095,369.37512,223.52031,2.7579167,135.01389,49.680557,
7,19.571909,15.801668,3.7702394,13.6413965,71.689514,441.69702,309.21616,234.57355,3.1330645,113.97849,61.626343,
8,19.507257,15.685539,3.82172,13.51129,71.27688,472.6827,356.1938,227.5514,2.5788977,107.72849,50.2957,
9,18.679583,15.320039,3.3595452,13.374306,73.85833,429.50275,319.05554,213.37177,2.0970833,89.80556,51.541668,
10,17.215996,13.194642,4.0213532,10.435484,68.518814,442.34122,440.7202,174.33998,1.7702955,176.82796,38.696236,
11,14.777084,10.763637,4.013448,7.586111,67.16111,407.68936,489.30646,151.65456,2.3719442,132.20833,32.76389,
12,12.704033,8.431762,4.272272,4.3756714,62.215054,377.2724,472.76566,140.5273,2.2220428,174.89247,38.682796,
