VILLAHERMOSA-TAB, -, MEX
month,Dry Bulb Temp,Wet Bulb Temp,Depression,Dew Point,Rel Humidity,Global Horiz Rad,Direct Norm Rad,Diffuse Rad,Wind Speed,Wind Direction,Sky Cover,
 ,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,Avg Daily,
 ,degrees C,degrees C,degrees C,degrees C,percent,(Wh/sq.m),(Wh/sq.m),(Wh/sq.m),ms,degrees,percent,
1,23.834946,21.151537,2.6834097,19.99812,79.770164,327.1425,220.2985,200.33894,1.4036291,176.39784,52.95699,
2,25.532438,22.438492,3.0939476,21.206993,77.895836,375.6939,262.12527,222.64178,1.4125,167.84225,41.607143,
3,24.99758,21.369507,3.6280718,19.837902,74.97581,457.02267,402.10925,209.55765,2.0684137,165.90054,32.31183,
4,29.29514,24.88046,4.414678,23.317917,71.56528,521.1644,428.8504,213.34976,1.5990279,166.61111,40.15278,
5,30.734814,26.387146,4.347668,24.96156,72.518814,509.65427,453.18887,219.15353,1.5547042,150.45699,33.508064,
6,28.843475,25.65106,3.192413,24.590693,78.57917,441.16583,320.03888,231.72548,1.4941667,158.55556,58.055557,
7,28.67836,24.696629,3.981733,23.269756,73.72581,485.07257,386.06973,220.02194,1.6995966,123.22581,61.29032,
8,29.320833,25.729347,3.5914855,24.516935,76.0914,454.74118,319.6588,239.45178,1.4682795,152.21774,64.95968,
9,28.43139,25.051918,3.3794706,23.870556,76.90833,419.8863,271.47363,241.03998,1.457361,188.41667,69.31944,
10,27.899729,25.203064,2.6966665,24.290457,81.331985,373.80057,228.82378,234.52942,1.3928764,198.03763,66.27688,
11,24.715973,22.070414,2.6455603,20.946945,80.798615,343.46158,269.38818,195.34874,1.7608333,151.86111,59.541668,
12,24.769756,21.89734,2.8724182,20.720297,78.91936,315.02496,212.74174,209.82387,1.4139785,163.84409,58.655914,
